target_condition,metric,repeat_id,input_id,source,source_prediction_id,source_parsing_status,independent_model_call
ours_full,Mass_MnRE,1,000008_000040,SiPhy,aeffaf707f4b0cf6f4fcec8213ff05692c41721ab7c4af2df8dd78a49808999c,PARSED,False
geometric_grounding,Mass_MnRE,1,000009_000010,SiPhy,7a1a72b77b924ca9cea6044f0fb96d291853a636121b8a6b01f177b72cab7a01,PARSED,False
ours_full,Mass_MnRE,1,000009_000010,SiPhy,7a1a72b77b924ca9cea6044f0fb96d291853a636121b8a6b01f177b72cab7a01,PARSED,False
geometric_grounding,Mass_MnRE,1,000009_000040,SiPhy,9545eaf1ee48224e8bde52e97801c4259ca1e952e41466a5dc97e77cac243891,PARSED,False
ours_full,Mass_MnRE,1,000009_000040,SiPhy,9545eaf1ee48224e8bde52e97801c4259ca1e952e41466a5dc97e77cac243891,PARSED,False
geometric_grounding,Mass_MnRE,1,000010_000010,SiPhy,aa79a284494d8aea339c832e4d7247e9f0d8fb0432d8e61dfbfe8a8eb6fdcc3b,PARSED,False
ours_full,Mass_MnRE,1,000010_000010,SiPhy,aa79a284494d8aea339c832e4d7247e9f0d8fb0432d8e61dfbfe8a8eb6fdcc3b,PARSED,False
geometric_grounding,Mass_MnRE,1,000010_000040,SiPhy,570a6eb5eacba66b9147fe3f23f30e979fcda83920548a1c1549dbd5eb9947ca,PARSED,False
ours_full,Mass_MnRE,1,000010_000040,SiPhy,570a6eb5eacba66b9147fe3f23f30e979fcda83920548a1c1549dbd5eb9947ca,PARSED,False
geometric_grounding,Mass_MnRE,1,000011_000010,SiPhy,cda18be948e5e6dc9c0f4e6059eabf596375db11b462550e9a2bc9355107aa95,PARSED,False
ours_full,Mass_MnRE,1,000011_000010,SiPhy,cda18be948e5e6dc9c0f4e6059eabf596375db11b462550e9a2bc9355107aa95,PARSED,False
geometric_grounding,Mass_MnRE,1,000011_000040,SiPhy,1d3fbf9430ef87f7774ad1287fd204c4eae96c3b09937c4736ed8f48d2d8d8e2,PARSED,False
ours_full,Mass_MnRE,1,000011_000040,SiPhy,1d3fbf9430ef87f7774ad1287fd204c4eae96c3b09937c4736ed8f48d2d8d8e2,PARSED,False
geometric_grounding,Mass_MnRE,1,000012_000010,SiPhy,91201e1fceb23d0d3e083cefb1cb27448643418ead5d09eb4ebb29192128b8ba,PARSED,False
ours_full,Mass_MnRE,1,000012_000010,SiPhy,91201e1fceb23d0d3e083cefb1cb27448643418ead5d09eb4ebb29192128b8ba,PARSED,False
geometric_grounding,Mass_MnRE,1,000012_000040,SiPhy,abe58a53696a6d73a0cbda020f6b2dd3341b55d48e86f63e432c486657c491a4,PARSED,False
ours_full,Mass_MnRE,1,000012_000040,SiPhy,abe58a53696a6d73a0cbda020f6b2dd3341b55d48e86f63e432c486657c491a4,PARSED,False
geometric_grounding,Mass_MnRE,1,000013_000010,SiPhy,627422c0e1cf0fc8c1d3d7731e857046968ea50efbdc83be9b22bc3f6914f206,PARSED,False
ours_full,Mass_MnRE,1,000013_000010,SiPhy,627422c0e1cf0fc8c1d3d7731e857046968ea50efbdc83be9b22bc3f6914f206,PARSED,False
geometric_grounding,Mass_MnRE,1,000013_000040,SiPhy,bca79fb793f2c8a87d84c613bd132f37aa081d5227ad529b5b01f706f361675d,PARSED,False
ours_full,Mass_MnRE,1,000013_000040,SiPhy,bca79fb793f2c8a87d84c613bd132f37aa081d5227ad529b5b01f706f361675d,PARSED,False
geometric_grounding,Mass_MnRE,1,000014_000010,SiPhy,a6821755fd089bfd38c00fad44e7492ff7a6bb8286c626edf25d8a1023441979,PARSED,False
ours_full,Mass_MnRE,1,000014_000010,SiPhy,a6821755fd089bfd38c00fad44e7492ff7a6bb8286c626edf25d8a1023441979,PARSED,False
geometric_grounding,Mass_MnRE,1,000014_000040,SiPhy,db3e073d5e1ab6fa82d86dc0b1952eacb44bf699af7a0248d2af3243aef67a0d,PARSED,False
ours_full,Mass_MnRE,1,000014_000040,SiPhy,db3e073d5e1ab6fa82d86dc0b1952eacb44bf699af7a0248d2af3243aef67a0d,PARSED,False
geometric_grounding,Mass_MnRE,1,000015_000010,SiPhy,51775e85ffebbb1377b86e81026bb53b6378aaa33dcc19441560f18d8511c630,PARSED,False
ours_full,Mass_MnRE,1,000015_000010,SiPhy,51775e85ffebbb1377b86e81026bb53b6378aaa33dcc19441560f18d8511c630,PARSED,False
geometric_grounding,Mass_MnRE,1,000015_000040,SiPhy,9b8fbf008cea3e8fb9fac58bd255d4739d610b99e52b1cf4c05281d79285251d,PARSED,False
ours_full,Mass_MnRE,1,000015_000040,SiPhy,9b8fbf008cea3e8fb9fac58bd255d4739d610b99e52b1cf4c05281d79285251d,PARSED,False
geometric_grounding,Mass_MnRE,1,000016_000010,SiPhy,bef89760c7a4c027df18be953a515b0e455f4b0437ca4a93f58fccc064597a0b,PARSED,False
ours_full,Mass_MnRE,1,000016_000010,SiPhy,bef89760c7a4c027df18be953a515b0e455f4b0437ca4a93f58fccc064597a0b,PARSED,False
geometric_grounding,Mass_MnRE,1,000016_000040,SiPhy,c5983a33ecf7d5fb5bd0a1552393d1531b6d8b10e84a39c381fe0db3ea40c320,PARSED,False
ours_full,Mass_MnRE,1,000016_000040,SiPhy,c5983a33ecf7d5fb5bd0a1552393d1531b6d8b10e84a39c381fe0db3ea40c320,PARSED,False
geometric_grounding,Mass_MnRE,1,000017_000010,SiPhy,b1b8438c45e417b4913f9e8d2ccf26e4ee6ba61ebb06cdb3eecb0448743fc8c0,PARSED,False
ours_full,Mass_MnRE,1,000017_000010,SiPhy,b1b8438c45e417b4913f9e8d2ccf26e4ee6ba61ebb06cdb3eecb0448743fc8c0,PARSED,False
geometric_grounding,Mass_MnRE,1,000017_000035,SiPhy,5941601a1252db93a14f0f92b94fa5175e8b3b81219943817eaea43459fca2a9,PARSED,False
ours_full,Mass_MnRE,1,000017_000035,SiPhy,5941601a1252db93a14f0f92b94fa5175e8b3b81219943817eaea43459fca2a9,PARSED,False
geometric_grounding,Mass_MnRE,1,000018_000010,SiPhy,b73377a3477aa60f32432bfb69c5ea85b3698d4d90af91b823e35fbadd20520d,PARSED,False
ours_full,Mass_MnRE,1,000018_000010,SiPhy,b73377a3477aa60f32432bfb69c5ea85b3698d4d90af91b823e35fbadd20520d,PARSED,False
geometric_grounding,Mass_MnRE,1,000018_000040,SiPhy,fe1be90eb2852b98531c1f266c0aa45e573011da8149845e596294e8ffdc107d,PARSED,False
ours_full,Mass_MnRE,1,000018_000040,SiPhy,fe1be90eb2852b98531c1f266c0aa45e573011da8149845e596294e8ffdc107d,PARSED,False
geometric_grounding,Mass_MnRE,1,000019_000010,SiPhy,58378772ab0366429fdeea96b1fb2fb624a3c9048d9e3bf91f756fc6efabb71c,PARSED,False
ours_full,Mass_MnRE,1,000019_000010,SiPhy,58378772ab0366429fdeea96b1fb2fb624a3c9048d9e3bf91f756fc6efabb71c,PARSED,False
geometric_grounding,Mass_MnRE,1,000019_000040,SiPhy,7ef29fb44b9703d32bc065075521f85b1731c8b421edb754b819a531464e74b0,PARSED,False
ours_full,Mass_MnRE,1,000019_000040,SiPhy,7ef29fb44b9703d32bc065075521f85b1731c8b421edb754b819a531464e74b0,PARSED,False
geometric_grounding,Mass_MnRE,1,000020_000010,SiPhy,9e8ff4d2d5c2d3fed6edb31bd76d6f2a68f2223b76996d45943d4118e5d8dbcd,PARSED,False
ours_full,Mass_MnRE,1,000020_000010,SiPhy,9e8ff4d2d5c2d3fed6edb31bd76d6f2a68f2223b76996d45943d4118e5d8dbcd,PARSED,False
geometric_grounding,Mass_MnRE,1,000020_000040,SiPhy,d5759aad9b77d1498d0068e10483be60e2ba9e9b1c3a7d60c1211e426cf2d3a9,PARSED,False
ours_full,Mass_MnRE,1,000020_000040,SiPhy,d5759aad9b77d1498d0068e10483be60e2ba9e9b1c3a7d60c1211e426cf2d3a9,PARSED,False
geometric_grounding,Mass_MnRE,1,000021_000010,SiPhy,af5275afb81df493357d36d7d441a45b0b64bbbc9dee820224db74ea54f30202,PARSED,False
ours_full,Mass_MnRE,1,000021_000010,SiPhy,af5275afb81df493357d36d7d441a45b0b64bbbc9dee820224db74ea54f30202,PARSED,False
geometric_grounding,Mass_MnRE,1,000021_000040,SiPhy,1d5731aa171a16c50f3833a0092796f3e19811fe66b7deee2ff9a3a904e95286,PARSED,False
ours_full,Mass_MnRE,1,000021_000040,SiPhy,1d5731aa171a16c50f3833a0092796f3e19811fe66b7deee2ff9a3a904e95286,PARSED,False
geometric_grounding,Mass_MnRE,1,000022_000010,SiPhy,7f9c4851c5a4d6a488b6466ac652415b406bf0b33b66b12a13580f89f7bbbe0f,PARSED,False
ours_full,Mass_MnRE,1,000022_000010,SiPhy,7f9c4851c5a4d6a488b6466ac652415b406bf0b33b66b12a13580f89f7bbbe0f,PARSED,False
geometric_grounding,Mass_MnRE,1,000022_000040,SiPhy,e24ae2cf2e9552141069c292a701b95aec6471f8d0782452dfe647ea4702c1d4,PARSED,False
ours_full,Mass_MnRE,1,000022_000040,SiPhy,e24ae2cf2e9552141069c292a701b95aec6471f8d0782452dfe647ea4702c1d4,PARSED,False
geometric_grounding,Mass_MnRE,1,000023_000010,SiPhy,554335366edd1f06f5fadb0057c2858d3e9fc2290d5ff8508656d5ede0c57db3,PARSED,False
ours_full,Mass_MnRE,1,000023_000010,SiPhy,554335366edd1f06f5fadb0057c2858d3e9fc2290d5ff8508656d5ede0c57db3,PARSED,False
geometric_grounding,Mass_MnRE,1,000023_000040,SiPhy,89766d566bac13987f8e0de734806408342067a3a94ff79b95322515f7111044,PARSED,False
ours_full,Mass_MnRE,1,000023_000040,SiPhy,89766d566bac13987f8e0de734806408342067a3a94ff79b95322515f7111044,PARSED,False
geometric_grounding,Mass_MnRE,1,000024_000010,SiPhy,e084fdd4850a0007eb2887abc264e0844b2082ce03b913c3a725673a29aa77d8,PARSED,False
ours_full,Mass_MnRE,1,000024_000010,SiPhy,e084fdd4850a0007eb2887abc264e0844b2082ce03b913c3a725673a29aa77d8,PARSED,False
geometric_grounding,Mass_MnRE,1,000024_000040,SiPhy,9b20321b391936bac837cb9fd3f0f3cc78cd32a7023c9d4418b0b25a1896d110,PARSED,False
ours_full,Mass_MnRE,1,000024_000040,SiPhy,9b20321b391936bac837cb9fd3f0f3cc78cd32a7023c9d4418b0b25a1896d110,PARSED,False
geometric_grounding,Mass_MnRE,2,000000_000010,SiPhy,5126725d3833e2525d8aa5743cfab78d576fea9cf7add60450ffbcd54aa36403,PARSED,False
ours_full,Mass_MnRE,2,000000_000010,SiPhy,5126725d3833e2525d8aa5743cfab78d576fea9cf7add60450ffbcd54aa36403,PARSED,False
geometric_grounding,Mass_MnRE,2,000000_000040,SiPhy,bf8c45b957852e9bb64e9c0b7bbfa9a7a241d7d31789b8aeb82f52903a1273dd,PARSED,False
ours_full,Mass_MnRE,2,000000_000040,SiPhy,bf8c45b957852e9bb64e9c0b7bbfa9a7a241d7d31789b8aeb82f52903a1273dd,PARSED,False
geometric_grounding,Mass_MnRE,2,000001_000010,SiPhy,0d3e14e24fb3235307162c88263bcddf3e984764ead5c917da90c1da7b50339e,PARSED,False
ours_full,Mass_MnRE,2,000001_000010,SiPhy,0d3e14e24fb3235307162c88263bcddf3e984764ead5c917da90c1da7b50339e,PARSED,False
geometric_grounding,Mass_MnRE,2,000001_000040,SiPhy,04c8513b648b81adb1f5b1239d85485429eb9d64673ecb9264194e5b0b0a5193,PARSED,False
ours_full,Mass_MnRE,2,000001_000040,SiPhy,04c8513b648b81adb1f5b1239d85485429eb9d64673ecb9264194e5b0b0a5193,PARSED,False
geometric_grounding,Mass_MnRE,2,000002_000010,SiPhy,3e3cf6978c8214a4f9392759328fc7132e222ce64a2ea684faa3347d39036381,PARSED,False
ours_full,Mass_MnRE,2,000002_000010,SiPhy,3e3cf6978c8214a4f9392759328fc7132e222ce64a2ea684faa3347d39036381,PARSED,False
geometric_grounding,Mass_MnRE,2,000002_000040,SiPhy,1de2ff6fa8265dcccbbc1a16001a1b76578096b5d9a63733c1df047f2504878c,PARSED,False
ours_full,Mass_MnRE,2,000002_000040,SiPhy,1de2ff6fa8265dcccbbc1a16001a1b76578096b5d9a63733c1df047f2504878c,PARSED,False
geometric_grounding,Mass_MnRE,2,000003_000010,SiPhy,e8d62b289da88e61a207a26dd6988afc057f8bc98247f6eeed505d769ecf37a0,PARSED,False
ours_full,Mass_MnRE,2,000003_000010,SiPhy,e8d62b289da88e61a207a26dd6988afc057f8bc98247f6eeed505d769ecf37a0,PARSED,False
geometric_grounding,Mass_MnRE,2,000003_000040,SiPhy,d19ce318601719ad77fdd7c97c175f70e9a8ac289e030c2fb3073cd549f0e132,PARSED,False
ours_full,Mass_MnRE,2,000003_000040,SiPhy,d19ce318601719ad77fdd7c97c175f70e9a8ac289e030c2fb3073cd549f0e132,PARSED,False
geometric_grounding,Mass_MnRE,2,000004_000010,SiPhy,d998d9fe522b46c115b71f30e022b64f1b7e33f57bf3d7f880a4064e2186e684,PARSED,False
ours_full,Mass_MnRE,2,000004_000010,SiPhy,d998d9fe522b46c115b71f30e022b64f1b7e33f57bf3d7f880a4064e2186e684,PARSED,False
geometric_grounding,Mass_MnRE,2,000004_000040,SiPhy,8ae296e4f7d3427162b8d0477cf98c041763d4ffac0f8e32299f0e286378955b,PARSED,False
ours_full,Mass_MnRE,2,000004_000040,SiPhy,8ae296e4f7d3427162b8d0477cf98c041763d4ffac0f8e32299f0e286378955b,PARSED,False
geometric_grounding,Mass_MnRE,2,000005_000010,SiPhy,3fa0d10ff710154b2e75bc9387e638ffc25c70c4d96b190b12540eda77813a8f,PARSED,False
ours_full,Mass_MnRE,2,000005_000010,SiPhy,3fa0d10ff710154b2e75bc9387e638ffc25c70c4d96b190b12540eda77813a8f,PARSED,False
geometric_grounding,Mass_MnRE,2,000005_000040,SiPhy,75ac40fc756cad034cef9251d19545067978c1baa4521a0ddb5a2de520d2471c,PARSED,False
ours_full,Mass_MnRE,2,000005_000040,SiPhy,75ac40fc756cad034cef9251d19545067978c1baa4521a0ddb5a2de520d2471c,PARSED,False
geometric_grounding,Mass_MnRE,2,000006_000010,SiPhy,be0ccf327dc1abf408f9ef8def57ecaceb870b745236d2d277d63e0d46c2981c,PARSED,False
ours_full,Mass_MnRE,2,000006_000010,SiPhy,be0ccf327dc1abf408f9ef8def57ecaceb870b745236d2d277d63e0d46c2981c,PARSED,False
geometric_grounding,Mass_MnRE,2,000006_000040,SiPhy,3ffcdb83ebdf649e01bc499861d2da30bee47df2d77ef7071701162570ffc73a,PARSED,False
ours_full,Mass_MnRE,2,000006_000040,SiPhy,3ffcdb83ebdf649e01bc499861d2da30bee47df2d77ef7071701162570ffc73a,PARSED,False
geometric_grounding,Mass_MnRE,2,000007_000010,SiPhy,9720068701b84f5c4a15dce764499f4df952bb673981803a4b2e504909bb6a26,PARSED,False
ours_full,Mass_MnRE,2,000007_000010,SiPhy,9720068701b84f5c4a15dce764499f4df952bb673981803a4b2e504909bb6a26,PARSED,False
geometric_grounding,Mass_MnRE,2,000007_000040,SiPhy,277d0adf8924df2fbcbd539e5550473821c79423b2c4dfbb34598be15589bdbf,PARSED,False
ours_full,Mass_MnRE,2,000007_000040,SiPhy,277d0adf8924df2fbcbd539e5550473821c79423b2c4dfbb34598be15589bdbf,PARSED,False
geometric_grounding,Mass_MnRE,2,000008_000010,SiPhy,2d88d8be83ee19256d6135b407d5b0d3b7ec5c92f2b23f20f3e579182cb9ab99,PARSED,False
ours_full,Mass_MnRE,2,000008_000010,SiPhy,2d88d8be83ee19256d6135b407d5b0d3b7ec5c92f2b23f20f3e579182cb9ab99,PARSED,False
geometric_grounding,Mass_MnRE,2,000008_000040,SiPhy,b2101ca80705b1b3b5e90d1be66e9c5d1bf8b79961316daa6526020da0ae930c,PARSED,False
ours_full,Mass_MnRE,2,000008_000040,SiPhy,b2101ca80705b1b3b5e90d1be66e9c5d1bf8b79961316daa6526020da0ae930c,PARSED,False
geometric_grounding,Mass_MnRE,2,000009_000010,SiPhy,bdd33949816b312e5b61e5ab33281cdf7689c3657caa8fbc629f4a0c722fcf23,PARSED,False
ours_full,Mass_MnRE,2,000009_000010,SiPhy,bdd33949816b312e5b61e5ab33281cdf7689c3657caa8fbc629f4a0c722fcf23,PARSED,False
geometric_grounding,Mass_MnRE,2,000009_000040,SiPhy,6bfd85cd4b76cc0603153117ffdeb679d1499a458efbf7b40e07449aa42dcc25,PARSED,False
ours_full,Mass_MnRE,2,000009_000040,SiPhy,6bfd85cd4b76cc0603153117ffdeb679d1499a458efbf7b40e07449aa42dcc25,PARSED,False
geometric_grounding,Mass_MnRE,2,000010_000010,SiPhy,b272c3e4fbc3bb641a775dccd266b8f96713c0d4d2d72bb6de8693c62c1037fa,PARSED,False
