condition_id,condition,Mass_Acc,Suction_Acc,Suction_PF,Clearance_RelErr,Feasibility_Acc,DA,Crit
name_only,Name-only,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION
affordance_labels,+ Affordance labels,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION
siphy_adopted,SiPhy (as adopted),NEEDS_IMPLEMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION
geometric_grounding,+ Geometric grounding (ours),NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION
ours_full,Ours (full),NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION
gt_numerics,GT numerics (oracle),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION,NEEDS_IMPLEMENTATION
