condition_id,condition,Mass_Acc,Suction_Acc,Suction_PF,Clearance_RelErr,Feasibility_Acc,DA,Crit
name_only,Name-only,READY,READY,READY,NOT_APPLICABLE,READY,READY,READY
affordance_labels,+ Affordance labels,READY,READY,READY,NOT_APPLICABLE,READY,READY,READY
siphy_adopted,SiPhy (as adopted),READY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,READY,READY,READY
geometric_grounding,+ Geometric grounding (ours),READY,READY,READY,READY,READY,READY,READY
ours_full,Ours (full),READY,READY,READY,READY,READY,READY,READY
gt_numerics,GT numerics (oracle),NOT_APPLICABLE,READY,READY,READY,READY,READY,READY
